  i           filename[i]         MJD  year  mm  dd      i_flux   i_mag  mg8807ew  mg_8807_flux  fe8689ew  fe_8689_flux   K7700ew   K_7700_flux   K7326ew   K_7326_flux   K7016ew   K_7016_flux  Li6708ew  Li_6708_flux  bl6500ew  bl_6500_flux  ca6122ew  ca_6122_flux  un5660ew  un_5660_flux  un5270ew  un_5270_flux
 12         1047277i.fits  54809.4062  2008  12   9    2.186242  -0.849  0.047943    0.00115866  0.048008    0.00107876  0.054903    0.00098379  0.031113    0.00051610  0.027049    0.00042938  0.056818    0.00076258  0.133050    0.00187362  0.088247    0.00116977  0.096834    0.00117099  0.457100    0.00477506
 13         1047278i.fits  54809.4219  2008  12   9    3.647431  -1.405  0.047656    0.00192916  0.048279    0.00182934  0.056028    0.00167520  0.030495    0.00084176  0.024888    0.00065186  0.057147    0.00127325  0.139292    0.00329640  0.088876    0.00195869  0.090546    0.00181395  0.453763    0.00796701
 14         1047279i.fits  54809.4375  2008  12   9    2.467063  -0.980  0.047429    0.00130956  0.046454    0.00117723  0.055023    0.00111158  0.028635    0.00053500  0.025688    0.00046105  0.056685    0.00085762  0.140662    0.00226669  0.088179    0.00131694  0.090603    0.00123835  0.461939    0.00561653
 15         1047280i.fits  54809.4531  2008  12   9    2.383536  -0.943  0.048151    0.00127384  0.047358    0.00115883  0.054594    0.00106940  0.031197    0.00056651  0.025724    0.00044599  0.056309    0.00083414  0.137305    0.00215251  0.087072    0.00128543  0.083383    0.00109498  0.458728    0.00541693
 16         1047457i.fits  54810.3945  2008  12  10    1.565115  -0.486  0.043837    0.00078406  0.042778    0.00069645  0.057458    0.00071847  0.030770    0.00035337  0.021400    0.00022847  0.056222    0.00050224  0.130697    0.00123152  0.085436    0.00073519  0.081303    0.00060198  0.449523    0.00286777
 17         1047458i.fits  54810.4102  2008  12  10    1.476218  -0.423  0.044314    0.00074822  0.045520    0.00071540  0.055569    0.00064850  0.030358    0.00032478  0.022660    0.00022498  0.056551    0.00046587  0.137398    0.00118544  0.087188    0.00070159  0.078438    0.00053398  0.445293    0.00262925
 18         1047459i.fits  54810.4258  2008  12  10    1.209601  -0.207  0.043830    0.00060221  0.045270    0.00057273  0.053972    0.00051756  0.030793    0.00027408  0.023903    0.00019943  0.057298    0.00041783  0.139559    0.00102652  0.084562    0.00056882  0.101513    0.00060832  0.444458    0.00223971
 19         1047460i.fits  54810.4375  2008  12  10    1.784833  -0.629  0.041573    0.00083789  0.042529    0.00078422  0.054012    0.00077282  0.028504    0.00037420  0.024887    0.00031186  0.054224    0.00055934  0.135810    0.00149399  0.087514    0.00088723  0.082420    0.00072709  0.444884    0.00347033
 20         1047963i.fits  54815.3906  2008  12  15    4.753224  -1.692  0.047687    0.00248080  0.048617    0.00236482  0.056215    0.00220846  0.030432    0.00110240  0.024309    0.00083249  0.056199    0.00163164  0.138549    0.00428868  0.085936    0.00248309  0.094063    0.00247694  0.452707    0.01037790
 21         1047964i.fits  54815.4062  2008  12  15    5.446258  -1.840  0.047116    0.00280355  0.047636    0.00264292  0.055494    0.00249931  0.030316    0.00125990  0.024705    0.00097047  0.055629    0.00186125  0.137620    0.00490041  0.087102    0.00290349  0.090398    0.00272756  0.455340    0.01209466
 22         1047965i.fits  54815.4219  2008  12  15    5.586279  -1.868  0.047641    0.00289646  0.047613    0.00270055  0.055416    0.00255616  0.030377    0.00129496  0.024948    0.00100973  0.056493    0.00194823  0.138337    0.00507437  0.086239    0.00294787  0.090722    0.00281947  0.460000    0.01265805
 23         1047966i.fits  54815.4375  2008  12  15    5.280640  -1.807  0.047383    0.00273687  0.047732    0.00257331  0.054894    0.00237870  0.030675    0.00123676  0.025070    0.00095689  0.056617    0.00183286  0.137462    0.00472008  0.086390    0.00276957  0.089157    0.00256921  0.458677    0.01186991
 24         1048131i.fits  54816.3750  2008  12  16    2.525863  -1.006  0.045285    0.00126084  0.044920    0.00115448  0.053500    0.00112350  0.029666    0.00056829  0.024738    0.00045039  0.054283    0.00085800  0.131805    0.00217509  0.085299    0.00131972  0.082846    0.00115711  0.441046    0.00549237
 25         1048132i.fits  54816.3906  2008  12  16    1.281211  -0.269  0.044478    0.00062426  0.047169    0.00062651  0.052366    0.00055632  0.028976    0.00027963  0.024039    0.00022138  0.053803    0.00042823  0.130489    0.00108682  0.082564    0.00064618  0.091919    0.00065826  0.443659    0.00273957
 26         1048133i.fits  54816.4062  2008  12  16    1.189361  -0.188  0.044034    0.00057992  0.045250    0.00055395  0.054145    0.00053601  0.029879    0.00026580  0.023149    0.00019599  0.054400    0.00041242  0.140341    0.00108576  0.083184    0.00059858  0.088088    0.00056734  0.448187    0.00258938
 27         1048134i.fits  54816.4180  2008  12  16    0.294266   1.328  0.052642    0.00017193  0.045606    0.00013502  0.046642    0.00011299  0.028056    0.00006347  0.022848    0.00004848  0.045415    0.00009023  0.133148    0.00026359  0.072316    0.00013464  0.109517    0.00019699  0.432952    0.00066841
 28         1048327i.fits  54817.3672  2008  12  17    3.283135  -1.291  0.041899    0.00150095  0.044223    0.00147432  0.054173    0.00148652  0.030357    0.00077520  0.025470    0.00061574  0.052008    0.00109078  0.120952    0.00267922  0.080567    0.00169229  0.079647    0.00152806  0.394942    0.00683040
 29         1048328i.fits  54817.3828  2008  12  17    1.442278  -0.398  0.045356    0.00071260  0.045222    0.00066690  0.053617    0.00064491  0.029222    0.00032443  0.026408    0.00027801  0.052286    0.00048045  0.123568    0.00119180  0.079249    0.00071867  0.084582    0.00071381  0.409007    0.00310530
 30         1048329i.fits  54817.3984  2008  12  17    5.105952  -1.770  0.043161    0.00241515  0.042990    0.00222993  0.053233    0.00226330  0.030568    0.00120935  0.025412    0.00094992  0.049563    0.00161800  0.126817    0.00437826  0.079331    0.00257276  0.080011    0.00237894  0.397819    0.01075302
 31         1048330i.fits  54817.4141  2008  12  17    5.432538  -1.838  0.042733    0.00254665  0.042978    0.00238928  0.052337    0.00236709  0.031040    0.00130680  0.025308    0.00100798  0.052172    0.00180266  0.128530    0.00473090  0.079592    0.00274377  0.082034    0.00259967  0.394345    0.01126558
 32         1048499i.fits  54818.3633  2008  12  18    3.948644  -1.491  0.043894    0.00194999  0.042013    0.00171893  0.052620    0.00170037  0.032904    0.00098929  0.027318    0.00077145  0.052898    0.00125338  0.129669    0.00328239  0.084115    0.00196829  0.081304    0.00170787  0.419889    0.00780925
 33         1048500i.fits  54818.3789  2008  12  18    4.096677  -1.531  0.043494    0.00199881  0.042650    0.00181119  0.053272    0.00179230  0.032243    0.00100414  0.026220    0.00076039  0.053746    0.00132608  0.121496    0.00318896  0.083618    0.00205353  0.080818    0.00177391  0.420265    0.00817373
 34         1048501i.fits  54818.3945  2008  12  18    4.068310  -1.524  0.045383    0.00206973  0.043418    0.00183377  0.053453    0.00177808  0.031492    0.00096634  0.026851    0.00077527  0.052825    0.00129654  0.129264    0.00337966  0.082839    0.00201383  0.076628    0.00164718  0.412328    0.00794129
 35         1048502i.fits  54818.4102  2008  12  18    3.934031  -1.487  0.045216    0.00200588  0.042875    0.00175622  0.053751    0.00173930  0.031044    0.00092203  0.026212    0.00072885  0.053839    0.00128013  0.129074    0.00323364  0.082993    0.00193541  0.083528    0.00176934  0.422302    0.00788731
 36         1048695i.fits  54819.3633  2008  12  19    2.309716  -0.909  0.040428    0.00107224  0.043532    0.00107219  0.053417    0.00098939  0.030354    0.00051497  0.024945    0.00039399  0.051885    0.00067557  0.127519    0.00176007  0.082974    0.00104540  0.082301    0.00091560  0.417839    0.00401051
 37         1048696i.fits  54819.3789  2008  12  19    1.955341  -0.728  0.040996    0.00093097  0.040697    0.00084031  0.053828    0.00083944  0.031270    0.00044511  0.023744    0.00031306  0.052920    0.00057594  0.126144    0.00145085  0.082650    0.00086211  0.082131    0.00074985  0.425328    0.00339559
 38         1048697i.fits  54819.3945  2008  12  19    2.114252  -0.813  0.041509    0.00101588  0.043808    0.00098618  0.051663    0.00086808  0.030124    0.00047047  0.025021    0.00036241  0.051337    0.00061248  0.131194    0.00165852  0.084725    0.00098145  0.087151    0.00089138  0.410194    0.00360612
 39         1048698i.fits  54819.4102  2008  12  19    2.133235  -0.823  0.041946    0.00104184  0.041380    0.00093739  0.052703    0.00089742  0.030454    0.00047411  0.024233    0.00035088  0.051317    0.00061583  0.134989    0.00171210  0.085582    0.00099310  0.082740    0.00083383  0.423613    0.00373323
 40         1048903i.fits  54820.3633  2008  12  20    1.312912  -0.296  0.044051    0.00065053  0.046385    0.00062969  0.058624    0.00061385  0.030182    0.00029280  0.023883    0.00021780  0.054794    0.00040654  0.135601    0.00107303  0.084884    0.00060877  0.090711    0.00057423  0.456177    0.00248217
 41         1048904i.fits  54820.3789  2008  12  20    2.822655  -1.127  0.045855    0.00146911  0.043266    0.00127172  0.056603    0.00127159  0.030483    0.00064078  0.024692    0.00048983  0.056040    0.00090755  0.126781    0.00218359  0.085032    0.00135016  0.088688    0.00126202  0.443211    0.00551799
 42         1048905i.fits  54820.3945  2008  12  20    3.832513  -1.459  0.046318    0.00201009  0.044263    0.00174967  0.057055    0.00174564  0.029936    0.00085410  0.023467    0.00062996  0.055967    0.00123146  0.129751    0.00304304  0.085459    0.00186372  0.085461    0.00164044  0.435613    0.00737484
 43         1048906i.fits  54820.4062  2008  12  20    3.930788  -1.486  0.045916    0.00205449  0.044587    0.00181814  0.056581    0.00177479  0.030202    0.00087980  0.023618    0.00065187  0.055635    0.00125544  0.130879    0.00316383  0.085445    0.00189429  0.087237    0.00172720  0.439771    0.00773706
 44         1049991i.fits  54838.2539  2009   1   7    4.215925  -1.562  0.047323    0.00221742  0.047574    0.00206823  0.056717    0.00192792  0.030598    0.00097548  0.024022    0.00072690  0.057179    0.00144541  0.143320    0.00386814  0.087817    0.00217585  0.089522    0.00199109  0.473560    0.00940631
 45         1049992i.fits  54838.2695  2009   1   7    4.321762  -1.589  0.047632    0.00229621  0.047271    0.00209623  0.056971    0.00199680  0.032296    0.00106461  0.022988    0.00070651  0.057473    0.00149106  0.140318    0.00389324  0.090593    0.00233176  0.091454    0.00211268  0.468861    0.00951938
 46         1049993i.fits  54838.2852  2009   1   7    4.506163  -1.635  0.047906    0.00241031  0.047309    0.00218142  0.057087    0.00208108  0.031300    0.00107674  0.024539    0.00079632  0.057352    0.00155117  0.139611    0.00405654  0.088395    0.00236924  0.093625    0.00228119  0.468199    0.00999296
 47         1049994i.fits  54838.2969  2009   1   7    4.818916  -1.707  0.049403    0.00263702  0.048684    0.00240356  0.058083    0.00226798  0.031158    0.00114387  0.023819    0.00082547  0.057396    0.00166946  0.141277    0.00441604  0.089470    0.00260461  0.090717    0.00236563  0.469424    0.01088542
 48         1050359i.fits  54840.2227  2009   1   9    4.198485  -1.558  0.048769    0.00222328  0.048726    0.00209431  0.054551    0.00192538  0.030809    0.00100551  0.024882    0.00077584  0.056596    0.00151067  0.136140    0.00383078  0.086067    0.00226234  0.091868    0.00218552  0.462002    0.00988839
 49         1050360i.fits  54840.2383  2009   1   9    4.632411  -1.665  0.047585    0.00238708  0.048617    0.00227577  0.055444    0.00215999  0.031265    0.00112730  0.023958    0.00082183  0.056389    0.00166335  0.136413    0.00426149  0.085333    0.00248103  0.089177    0.00236139  0.458390    0.01082338
 50         1050361i.fits  54840.2500  2009   1   9    5.153604  -1.780  0.048987    0.00272262  0.048279    0.00250604  0.054969    0.00237718  0.031334    0.00126415  0.025167    0.00096806  0.056301    0.00185849  0.138122    0.00483075  0.086433    0.00282193  0.094124    0.00282193  0.457061    0.01216238
 51         1050362i.fits  54840.2656  2009   1   9    5.057741  -1.760  0.048391    0.00264450  0.048331    0.00246992  0.054560    0.00231301  0.030337    0.00119912  0.024861    0.00093884  0.056730    0.00184349  0.136116    0.00468544  0.086227    0.00277589  0.093155    0.00274202  0.463072    0.01230528
 52         1050595i.fits  54841.2148  2009   1  10    5.592670  -1.869  0.047772    0.00290904  0.046631    0.00263633  0.054904    0.00257234  0.031518    0.00136920  0.024864    0.00103954  0.056364    0.00202298  0.134920    0.00515797  0.086829    0.00309736  0.097009    0.00320619  0.464391    0.01354921
 53         1050596i.fits  54841.2305  2009   1  10    5.504557  -1.852  0.048609    0.00292837  0.048441    0.00271467  0.054626    0.00251521  0.031557    0.00134982  0.024376    0.00099650  0.056511    0.00200420  0.139797    0.00528584  0.085949    0.00302919  0.092764    0.00298837  0.464391    0.01334099
 54         1050597i.fits  54841.2422  2009   1  10    5.708651  -1.891  0.048372    0.00302129  0.048473    0.00281829  0.054568    0.00260056  0.030661    0.00136279  0.024315    0.00103268  0.057468    0.00212387  0.139058    0.00546197  0.089067    0.00328741  0.091688    0.00308251  0.465002    0.01400623
 55         1050598i.fits  54841.2578  2009   1  10    5.672269  -1.884  0.049129    0.00304714  0.048418    0.00279712  0.054058    0.00255091  0.031156    0.00137437  0.025084    0.00105740  0.056783    0.00208286  0.137858    0.00537311  0.088591    0.00323654  0.091316    0.00304506  0.464586    0.01388882
 56         1050762i.fits  54842.2266  2009   1  11    2.245391  -0.878  0.047021    0.00120659  0.046788    0.00110573  0.055637    0.00100734  0.031303    0.00052481  0.023284    0.00036356  0.055913    0.00072636  0.132660    0.00182230  0.088124    0.00111711  0.089368    0.00099714  0.463728    0.00453446
 57         1050763i.fits  54842.2422  2009   1  11    2.475640  -0.984  0.047641    0.00134343  0.046814    0.00120844  0.056342    0.00112945  0.031523    0.00058381  0.023340    0.00040271  0.057135    0.00082586  0.136500    0.00207970  0.084519    0.00118989  0.097324    0.00121776  0.464841    0.00506363
 58         1050764i.fits  54842.3672  2009   1  11    2.698659  -1.078  0.047030    0.00144969  0.046877    0.00132871  0.057708    0.00126024  0.030703    0.00061751  0.024324    0.00046233  0.058612    0.00092077  0.138219    0.00229190  0.087297    0.00132964  0.087297    0.00117206  0.459155    0.00544187
 59         1050765i.fits  54842.3828  2009   1  11    3.009931  -1.196  0.047890    0.00164903  0.046943    0.00148755  0.055006    0.00133097  0.031094    0.00069370  0.024402    0.00051210  0.059077    0.00103685  0.140761    0.00259854  0.088637    0.00150447  0.093409    0.00142324  0.455072    0.00604234
 60         1050766i.fits  54842.3984  2009   1  11    3.340967  -1.310  0.048829    0.00186261  0.046670    0.00162479  0.056914    0.00154986  0.030906    0.00077094  0.024434    0.00057687  0.057346    0.00110955  0.136410    0.00279809  0.087554    0.00166572  0.089264    0.00150060  0.462618    0.00680717
 61         1050767i.fits  54842.4102  2009   1  11    3.356643  -1.315  0.046483    0.00177363  0.047529    0.00166405  0.058799    0.00160608  0.030811    0.00077179  0.024820    0.00058673  0.057339    0.00112113  0.138452    0.00284550  0.087724    0.00166498  0.092991    0.00156041  0.464358    0.00685442
 63         1050876i.fits  54843.2148  2009   1  12    0.054253   3.164  0.052859    0.00003471  0.054543    0.00003462  0.054039    0.00002292  0.034665    0.00001401  0.024582    0.00001032  0.046970    0.00001836  0.091662    0.00003306  0.101483    0.00003043  0.048217    0.00001374  0.574245    0.00015849
 64         1050877i.fits  54843.2305  2009   1  12    0.287286   1.354  0.052857    0.00017299  0.042361    0.00012241  0.056508    0.00012851  0.026502    0.00005708  0.025269    0.00005287  0.052186    0.00008849  0.100612    0.00017141  0.092114    0.00014838  0.080111    0.00010598  0.469164    0.00058676
 65         1050878i.fits  54843.2461  2009   1  12    1.098062  -0.102  0.043821    0.00054065  0.048260    0.00055650  0.056599    0.00050000  0.029565    0.00023863  0.024457    0.00018847  0.060336    0.00037642  0.135246    0.00088481  0.088837    0.00053765  0.082542    0.00044539  0.451363    0.00215789
 66         1050879i.fits  54843.2617  2009   1  12    1.179061  -0.179  0.044936    0.00060107  0.048753    0.00060231  0.057205    0.00054629  0.028585    0.00025286  0.023559    0.00019849  0.055528    0.00038159  0.137909    0.00100721  0.086639    0.00058328  0.084900    0.00049721  0.445171    0.00233060
 67         1050880i.fits  54843.2773  2009   1  12    1.637993  -0.536  0.045159    0.00084322  0.046809    0.00079726  0.057399    0.00074810  0.030292    0.00036936  0.022583    0.00025666  0.057252    0.00053310  0.136822    0.00134828  0.090447    0.00082724  0.090290    0.00072598  0.456640    0.00326029
 68         1050881i.fits  54843.2891  2009   1  12    2.165579  -0.839  0.048423    0.00121203  0.047079    0.00106558  0.056103    0.00096110  0.030030    0.00048339  0.022568    0.00034029  0.059160    0.00072701  0.135827    0.00176166  0.090782    0.00108879  0.094996    0.00101391  0.451943    0.00420935
 69         1050882i.fits  54843.3047  2009   1  12    3.269053  -1.286  0.046725    0.00175897  0.046663    0.00159588  0.059340    0.00155349  0.031289    0.00076076  0.023960    0.00054704  0.059129    0.00109423  0.134509    0.00265174  0.088556    0.00161470  0.091069    0.00147133  0.456830    0.00644452
 70         1051106i.fits  54844.1992  2009   1  13    3.023691  -1.201  0.046724    0.00164295  0.047611    0.00153652  0.057384    0.00139777  0.034279    0.00078025  0.024739    0.00052371  0.057484    0.00097251  0.132708    0.00240150  0.090030    0.00149614  0.088284    0.00126921  0.478772    0.00607265
 71         1051107i.fits  54844.2109  2009   1  13    2.665702  -1.065  0.047046    0.00147251  0.047329    0.00133327  0.058413    0.00124094  0.033493    0.00066636  0.025255    0.00047100  0.059028    0.00088298  0.136001    0.00215981  0.090907    0.00133099  0.089906    0.00114506  0.481729    0.00532843
 72         1051108i.fits  54844.2266  2009   1  13    2.110540  -0.811  0.046960    0.00116495  0.045360    0.00101780  0.059725    0.00099383  0.034028    0.00053168  0.025119    0.00036624  0.058817    0.00068797  0.142431    0.00176979  0.092283    0.00106099  0.093239    0.00092371  0.480865    0.00406366
 73         1051109i.fits  54844.2422  2009   1  13    3.085768  -1.223  0.046850    0.00168834  0.047115    0.00154412  0.059458    0.00146377  0.034525    0.00080081  0.025561    0.00055568  0.058304    0.00101398  0.137099    0.00254519  0.090797    0.00155072  0.087473    0.00130902  0.472156    0.00623261
 74         1051342i.fits  54845.2266  2009   1  14    4.802951  -1.704  0.048145    0.00261940  0.046133    0.00229323  0.057895    0.00221745  0.031833    0.00115461  0.024073    0.00082557  0.058772    0.00165158  0.137092    0.00413377  0.090273    0.00252389  0.091156    0.00226600  0.460502    0.01008203
 75         1051343i.fits  54845.2422  2009   1  14    4.866470  -1.718  0.048052    0.00265342  0.048172    0.00244408  0.058578    0.00227804  0.032213    0.00119073  0.023799    0.00082834  0.059025    0.00168409  0.140778    0.00433710  0.089897    0.00256548  0.095003    0.00243498  0.468125    0.01057386
 76         1051344i.fits  54845.2539  2009   1  14    4.920722  -1.730  0.047973    0.00267526  0.047274    0.00241985  0.057956    0.00228597  0.032396    0.00122733  0.024105    0.00085183  0.059248    0.00171900  0.138913    0.00434807  0.091064    0.00264356  0.091243    0.00237307  0.467893    0.01073355
 77         1051345i.fits  54845.2695  2009   1  14    4.710086  -1.683  0.048039    0.00255191  0.046121    0.00224590  0.059612    0.00224167  0.031471    0.00112018  0.023854    0.00079984  0.058621    0.00159938  0.141659    0.00420869  0.090426    0.00248174  0.090643    0.00221991  0.464896    0.01005990
 78         1265739i.fits  55544.3125  2010  12  14    2.454023  -0.975  0.039085    0.00111855  0.041940    0.00110134  0.055605    0.00110451  0.027142    0.00049485  0.022483    0.00039515  0.048619    0.00075776  0.128216    0.00216222  0.078811    0.00120940  0.082782    0.00112390  0.393327    0.00458446
 79         1265740i.fits  55544.3281  2010  12  14    2.305316  -0.907  0.039733    0.00106589  0.043325    0.00107448  0.055604    0.00104001  0.027291    0.00047097  0.022027    0.00036017  0.049356    0.00071582  0.128336    0.00199490  0.080029    0.00114081  0.086985    0.00110450  0.405487    0.00437056
 80         1265741i.fits  55544.3438  2010  12  14    2.376083  -0.940  0.041312    0.00115201  0.041740    0.00106582  0.056087    0.00107418  0.028986    0.00051640  0.022584    0.00038000  0.051035    0.00076180  0.131427    0.00211929  0.080750    0.00119739  0.082820    0.00107727  0.405490    0.00450432
 81         1265742i.fits  55544.3594  2010  12  14    2.583679  -1.031  0.039888    0.00120781  0.044157    0.00123672  0.054471    0.00113715  0.027329    0.00052465  0.022359    0.00041231  0.050047    0.00081055  0.129324    0.00226675  0.081585    0.00131579  0.080653    0.00113536  0.392825    0.00473463
 82         1265921i.fits  55545.3828  2010  12  15    5.481418  -1.847  0.042211    0.00260094  0.043607    0.00247530  0.055079    0.00248230  0.029202    0.00124260  0.023045    0.00095344  0.054479    0.00200673  0.130823    0.00521608  0.082200    0.00304613  0.079737    0.00265478  0.415177    0.01230057
 83         1265922i.fits  55545.3984  2010  12  15    4.944060  -1.735  0.042479    0.00238254  0.044741    0.00229706  0.053866    0.00217029  0.028571    0.00108533  0.022363    0.00082383  0.053786    0.00176303  0.127549    0.00451817  0.080738    0.00266073  0.085021    0.00251482  0.428551    0.01126015
 84         1265923i.fits  55545.4141  2010  12  15    5.234907  -1.797  0.042604    0.00253085  0.045141    0.00245956  0.053276    0.00227217  0.029103    0.00117369  0.022333    0.00087331  0.054591    0.00190443  0.131333    0.00496705  0.082179    0.00290053  0.084190    0.00267687  0.424355    0.01193995
 85         1265924i.fits  55545.4297  2010  12  15    4.931859  -1.733  0.043139    0.00241101  0.044893    0.00230771  0.054123    0.00217283  0.028754    0.00109022  0.022630    0.00083215  0.053758    0.00175286  0.135634    0.00481453  0.082892    0.00273092  0.089883    0.00268013  0.423373    0.01110577
 86         1266139i.fits  55546.3828  2010  12  16    4.519274  -1.638  0.042517    0.00217024  0.044615    0.00209447  0.053102    0.00196106  0.028438    0.00098739  0.023464    0.00079289  0.054134    0.00163168  0.130873    0.00425716  0.083155    0.00254425  0.088366    0.00243407  0.419440    0.01020704
 87         1266140i.fits  55546.3984  2010  12  16    4.740046  -1.689  0.042639    0.00228828  0.043916    0.00215931  0.052608    0.00203639  0.029558    0.00107926  0.024266    0.00086056  0.053825    0.00168491  0.132573    0.00453118  0.082936    0.00264376  0.081422    0.00230850  0.415864    0.01048347
 88         1266141i.fits  55546.4141  2010  12  16    4.880976  -1.721  0.043088    0.00240822  0.044433    0.00228350  0.054383    0.00218622  0.029944    0.00113147  0.023625    0.00086525  0.054667    0.00179189  0.129331    0.00457131  0.083310    0.00276260  0.086816    0.00259640  0.412891    0.01079387
 89         1266142i.fits  55546.4297  2010  12  16    4.763508  -1.695  0.042667    0.00230787  0.044665    0.00221865  0.052800    0.00204708  0.029472    0.00108020  0.024271    0.00086887  0.054310    0.00171780  0.129538    0.00445167  0.082342    0.00265379  0.082622    0.00237032  0.425923    0.01083243
 90         1266386i.fits  55547.3555  2010  12  17    4.495776  -1.632  0.044788    0.00233658  0.044921    0.00214337  0.053214    0.00192891  0.029468    0.00099566  0.023213    0.00076552  0.055010    0.00158257  0.130878    0.00412181  0.083102    0.00242814  0.084159    0.00218204  0.423455    0.00960219
 91         1266387i.fits  55547.3711  2010  12  17    5.039671  -1.756  0.043128    0.00249832  0.045457    0.00241553  0.051839    0.00209620  0.029350    0.00111585  0.023757    0.00087906  0.055989    0.00182535  0.130927    0.00465728  0.083197    0.00275578  0.085058    0.00251120  0.430094    0.01126920
 92         1266388i.fits  55547.3867  2010  12  17    5.758759  -1.901  0.044728    0.00294242  0.045265    0.00271894  0.054012    0.00250874  0.030683    0.00134282  0.023754    0.00101633  0.055009    0.00206745  0.133509    0.00552941  0.084057    0.00324287  0.089144    0.00311455  0.427959    0.01315164
 93         1266389i.fits  55547.4023  2010  12  17    5.785911  -1.906  0.044196    0.00292978  0.045037    0.00273296  0.054687    0.00256873  0.029872    0.00131413  0.024764    0.00106908  0.055746    0.00212316  0.130211    0.00541604  0.084745    0.00328258  0.086868    0.00304310  0.431097    0.01333268
 94         1266558i.fits  55548.3477  2010  12  18    3.499962  -1.360  0.043993    0.00178850  0.042166    0.00155738  0.056548    0.00157892  0.030554    0.00080219  0.024352    0.00061822  0.055304    0.00119804  0.134647    0.00320147  0.084902    0.00188192  0.084015    0.00161724  0.447140    0.00759825
